_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,gender,gender:confidence,profile_yn,profile_yn:confidence,created,description,fav_number,gender_gold,link_color,name,profile_yn_gold,profileimage,retweet_count,sidebar_color,text,tweet_coord,tweet_count,tweet_created,tweet_id,tweet_location,user_timezone
815719226,FALSE,finalized,3,10/26/15 23:24,male,1,yes,1,2012-05-13 1:48,i sing my own rhythm.,0,,08C2C2,sheezy0,,https://pbs.twimg.com/profile_images/414342229096808449/fYvzqXN7_normal.png,0,FFFFFF,Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ,,110964,10/26/15 12:40,6.59E+17,main; @Kan1shk3,Chennai
815719227,FALSE,finalized,3,10/26/15 23:30,male,1,yes,1,2010-01-12 13:51,I'm the author of novels filled with family drama and romance.,68,,0084B4,DavdBurnett,,https://pbs.twimg.com/profile_images/539604221532700673/WW16tBbU_normal.jpeg,0,C0DEED,ÛÏIt felt like they were my friends and I was living the story with themÛ https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz,,7471,10/26/15 12:40,6.59E+17,,Eastern Time (US & Canada)
815719228,FALSE,finalized,3,10/26/15 23:33,male,0.6625,yes,1,11/28/14 11:30,louis whining and squealing and all,7696,,ABB8C2,lwtprettylaugh,,https://pbs.twimg.com/profile_images/657330418249658368/SBLCXdF7_normal.png,1,C0DEED,i absolutely adore when louis starts the songs it hits me hard but it feels good,,5617,10/26/15 12:40,6.59E+17,clcncl,Belgrade
815719229,FALSE,finalized,3,10/26/15 23:10,male,1,yes,1,2006-11-09 22:39,"Mobile guy.  49ers, Shazam, Google, Kleiner Perkins, Yahoo!, Sprint PCS, AirTouch, Air Force.  Stanford GSB, UVa.  Dad, Husband, Brother.  Golfer.",202,,0084B4,douggarland,,https://pbs.twimg.com/profile_images/259703936/IMG_8444_normal.JPG,0,C0DEED,Hi @JordanSpieth - Looking at the url - do you use @IFTTT?!  Don't typically see an advanced user on the @PGATOUR! https://t.co/H68ou5PE9L,,1693,10/26/15 12:40,6.59E+17,"Palo Alto, CA",Pacific Time (US & Canada)
815719230,FALSE,finalized,3,10/27/15 1:15,female,1,yes,1,4/16/14 13:23,Ricky Wilson The Best FRONTMAN/Kaiser Chiefs The Best BAND Xxxx Thank you Kaiser Chiefs for an incredible year of gigs and memories to cherish always :) Xxxxxxx,37318,,3B94D9,WilfordGemma,,https://pbs.twimg.com/profile_images/564094871032446976/AOfpk-mr_normal.jpeg,0,0,Watching Neighbours on Sky+ catching up with the Neighbs!! Xxx _Ù÷Ä_Ù÷Ä_Ù÷Ä_ÙÔÎ_ÙÈ_ÙÔ_ÙÈ Xxx,,31462,10/26/15 12:40,6.59E+17,,
815719231,FALSE,finalized,3,10/27/15 1:47,female,1,yes,1,2003-11-10 18:14,you don't know me.,3901,,F5ABB5,monroevicious,,https://pbs.twimg.com/profile_images/656336865033850880/ougQS3q7_normal.jpg,0,0,"Ive seen people on the train with lamps, chairs, tvs etc  https://t.co/w6zf4pVM4I",,20036,10/26/15 12:40,6.59E+17,New York Gritty,Central Time (US & Canada)
815719233,FALSE,finalized,3,10/26/15 23:48,male,1,yes,1,2012-03-12 21:54,The secret of getting ahead is getting started.,80,,0000FF,RobinMeske,,https://pbs.twimg.com/profile_images/508875440107180032/apOHVAt8_normal.jpeg,0,C0DEED,"Gala Bingo clubs bought for å£241m: The UK's largest High Street bingo operator, Gala, is being taken over byÛ_ https://t.co/HzeeykJUd3",,112117,10/26/15 12:40,6.59E+17,,
815719234,FALSE,finalized,3,10/27/15 1:52,female,1,yes,1,2009-08-15 4:50,Pll Fan // Crazy about MCD // Ramen is bae,1825,,9266CC,pigzilla_,,https://pbs.twimg.com/profile_images/658670112304709632/ZhhUs4WC_normal.jpg,0,0,@_Aphmau_ the pic defines all mcd fangirls/fanboys and mcd shippers xD,,482,10/26/15 12:40,6.59E+17,,
815719235,FALSE,finalized,3,10/27/15 1:49,female,1,yes,1,5/13/11 3:32,"Renaissance art historian, University of Nottingham; fuelled by Haribo, partial to coffee and with a soft spot for Renaissance China. National Teaching Fellow.",3115,,9266CC,GabrieleNeher,,https://pbs.twimg.com/profile_images/513327289858535424/vrc79hs1_normal.jpeg,0,FFFFFF,@Evielady just how lovely is the tree this year! Never seen it as gorgeous as this #Autumn #colour,,26085,10/26/15 12:40,6.59E+17,"Nottingham, England.",Amsterdam
815719238,FALSE,finalized,3,10/26/15 22:20,female,0.6509,yes,1,2008-10-12 5:05,Senior '16 . XI-XII-MMXIV.,3371,,0084B4,kaylanabrewer_,,https://pbs.twimg.com/profile_images/651227967595483140/Mes6SNEO_normal.png,0,FFFFFF,Just put my ass on the line for you and this is how you repay me.,,13585,10/26/15 12:40,6.59E+17,,Atlantic Time (Canada)
815719240,FALSE,finalized,3,10/27/15 1:29,female,0.6501,yes,1,2004-06-13 15:31,"im just here for tÌüp, bo burnham, and disney world.",13928,,0084B4,cheyflan,,https://pbs.twimg.com/profile_images/655943646815113216/gnRGy6pf_normal.jpg,0,FFFFFF,will i even need sound effects for the diviners tonight,,18469,10/26/15 12:40,6.59E+17,row b seat 104,Atlantic Time (Canada)
815719242,FALSE,finalized,3,10/26/15 23:43,female,1,yes,1,8/27/11 9:42,JMKM_Òü,1762,,58185,Toucaan_Samm,,https://pbs.twimg.com/profile_images/625025152720375808/QJNu2mgI_normal.jpg,0,EEEEEE,@giannaaa28 lmao _Ù÷â_Ù÷â dude I'm hella scared for next episode bc the ending to yesterday's,,16627,10/26/15 12:40,6.59E+17,,Arizona
